,UMPA1,UMAP2,timepoint
2217872,6.7404194,8.743843,tp0
2217927,0.71352863,10.970129,tp0
2217941,5.094617,8.2909,tp0
2217948,7.1354265,7.9500823,tp0
2217954,0.20791444,11.381391,tp0
2218108,3.2361875,9.043012,tp0
2218116,-1.5151194,7.355065,tp0
2218151,5.1591578,7.992919,tp0
2218211,-0.9198358,8.250617,tp0
2218236,5.6284003,9.259685,tp0
2218344,-2.032549,9.612939,tp0
2218352,10.379035,5.887405,tp0
2218442,-0.99457216,8.041207,tp0
2218448,-1.5710284,9.6581745,tp0
2218484,0.30589366,9.357649,tp0
2218507,-0.4926061,12.206976,tp0
2218531,9.510102,6.800107,tp0
2218584,4.589538,9.517814,tp0
2218626,0.2732383,8.884492,tp0
2218821,-0.32741442,10.960748,tp0
2218884,-0.8891178,11.672165,tp0
2218943,9.1345005,7.348029,tp0
2218949,4.142231,7.900161,tp0
2218953,-0.7665392,10.639416,tp0
2218994,0.03757556,9.648266,tp0
2219034,2.5089662,11.125604,tp0
2219144,2.569967,8.956845,tp0
2219224,-2.4590929,8.768933,tp0
2219376,-1.8445534,11.347682,tp0
2219401,0.7604497,8.569817,tp0
2219441,-0.22990637,6.9668326,tp0
2219444,9.43693,7.3636703,tp0
2219446,10.046067,5.6589766,tp0
2219492,-0.93201977,9.007099,tp0
2219634,-1.6792579,8.653684,tp0
2219684,0.28854424,11.955212,tp0
2219829,10.799877,7.78012,tp0
2219830,-2.4593186,10.094106,tp0
2219884,10.465828,5.43384,tp0
2220056,9.163022,7.2483077,tp0
