"","x"
"1130","20987340"
"1131","2981522"
"1132","21017319"
"1133","21083316"
"1134","21131128"
"1135","21051273"
"1136","20922482"
"1137","21004889"
"1138","20986658"
"1139","21076942"
"1140","21064332"
"1141","21013714"
"1142","20948903"
"1143","21126352"
"1144","21179491"
"1145","21110175"
"1146","21184009"
"1147","21107044"
"1148","20921796"
"1149","21033284"
"1150","21000316"
"1151","20963119"
"1152","21009942"
"1153","21156254"
"1154","21074742"
"1155","21130854"
"1156","21035609"
"1157","21019401"
"1158","21191661"
"1159","20970742"
"1160","21028233"
"1161","20946344"
"1162","20958926"
"1163","21057220"
"1164","20926852"
"1165","14541823"
"1166","20979002"
"1167","20971236"
"1168","21067017"
"1169","21089856"
"1170","21027181"
"1171","21016824"
"1172","21156921"
"1173","21056306"
"1174","21022427"
"1175","21190434"
"1176","21119527"
"1177","21160366"
"1178","21155787"
"1179","21110207"
"1180","21163254"
"1181","21184625"
"1182","20994048"
"1183","21188269"
"1184","20922807"
"1185","20955075"
"1186","21109269"
"1187","21032119"
"1188","21151841"
"1189","21040749"
"1190","20956136"
"1191","21070140"
"1192","21145615"
"1193","21087922"
"1194","21174441"
"1195","21120429"
"1196","21085731"
"1197","2474874"
"1198","21145657"
"1199","21158946"
"1200","21006026"
"1201","21007576"
"1202","20953825"
"1203","21096174"
"1204","20994527"
"1205","21001023"
"1206","21022458"
"1207","21104716"
"1208","21020594"
"1209","20993079"
"1210","21063693"
"1211","21174760"
"1212","20982659"
"1213","21070516"
"1214","20933891"
"1215","21143972"
"1216","21157139"
"1217","21163505"
"1218","20920958"
"1219","20975064"
"1220","21067610"
"1221","21098249"
"1222","21031329"
"1223","21037329"
"1224","21074662"
"1225","21066982"
"1226","21142892"
"1227","21198671"
"1228","21194917"
"1229","20989734"
"1230","20936465"
"1231","21088247"
"1232","21056152"
"1233","21032389"
"1234","21069959"
"1235","21106477"
"1236","21118999"
"1237","21128072"
"1238","21067167"
"1239","21185218"
"1240","21119397"
"1241","21135923"
"1242","20921890"
"1243","21125025"
"1244","21045197"
"1245","20989131"
"1246","21040872"
"1247","21058480"
"1248","20952722"
"1249","21069224"
"1250","20993111"
"1251","21123305"
"1252","21187871"
"1253","20974741"
"1254","21178712"
"1255","21137109"
"1256","21085965"
"1257","21102193"
"1258","21146609"
"1259","21070989"
"1260","21065752"
"1261","21135230"
"1262","21137426"
"1263","20978997"
"1264","21081402"
"1265","21085862"
"1266","21096436"
"1267","21128478"
"1268","21154635"
"1269","20964622"
"1270","21157854"
"1271","21126447"
"1272","21097237"
"1273","21139519"
"1274","21193559"
